number_volume,number_issue,year,page_start,page_end,theme
1,1,1999,1,131,
1,2,1999,133,318,
1,3,1999,319,499,
2,1,2000,1,108,
2,2,2000,113,238,
2,3,2000,243,389,
2,4,2000,397,563,
3,1,2001,1,130,
3,2,2001,135,256,
3,3,2001,261,381,
3,4,2001,387,538,
4,1,2002,1,156,
4,2,2002,161,260,
4,3,2002,265,329,
4,4,2002,331,424,
5,1,2003,1,90,
5,2,2003,93,231,
5,3,2003,235,345,
5,4,2003,349,463,
6,1,2004,1,117,
6,2,2004,119,260,
6,3,2004,263,412,
6,4,2004,421,534,
7,1,2005,1,193,
7,2,2005,195,375,
7,3,2005,377,509,
7,4,2005,511,613,
8,1,2006,1,211,
8,2,2006,215,355,"Concepts, approaches and problems of work-life balance"
8,3,2006,357,488,
8,4,2006,491,624,
9,1,2007,1,111,
9,2,2007,115,312,
9,3,2007,313,490,
9,4,2007,491,678,
9,5,2007,681,796,The European Public Sphere and Mass Communications
10,1,2008,1,140,
10,2,2008,143,325,Cultural Spaces in Europe
10,3,2008,325,523,
10,4,2008,525,686,"Professional work in Europe: concepts, theories, and methodologies"
10,5,2008,687,867,
11,1,2009,1,185,
11,2,2009,187,313,
11,3,2009,315,469,At a crossroads: Contemporary lives between fate and choice
11,4,2009,471,624,
11,5,2009,625,773,
12,1,2010,1,136,
12,2,2010,137,288,
12,3,2010,289,448,
12,4,2010,449,598,
12,5,2010,599,ebi,
13,1,2011,1,167,
13,2,2011,169,329,
13,3,2011,331,503,Career Mobility
13,4,2011,505,635,
13,5,2011,637,ebi,
14,1,2012,1,159,
14,2,2012,i,314,"Antisemitism, Racism, and Islamophobia"
14,3,2012,315,469,
14,4,2012,471,632,Post-identity? Culture and the politics of European integration
14,5,2012,633,ebi,
15,1,2013,1,152,
15,2,2013,153,308,Focused Issue: Art Markets and Sociology of Culture
15,3,2013,309,469,
15,4,2013,471,635,The Mediterranean Welfare Regime and the Current Crisis
15,5,2013,637,ebi,
16,1,2014,1,163,
16,2,2014,165,324,School-to-Work Transitions
16,3,2014,325,475,
16,4,2014,477,640,
16,5,2014,641,ebi,
17,1,2015,1,127,
17,2,2015,129,278,
17,3,2015,279,400,
17,4,2015,401,616,
17,5,2015,617,ebi,
18,1,2016,1,116,
18,2,2016,117,199,
18,3,2016,201,290,
18,4,2016,291,409,
18,5,2016,417,ebi,
19,1,2017,1,117,
19,2,2017,119,221,Female Labour and Local Welfare Systems
19,3,2017,223,340,
19,4,2017,341,516,
19,5,2017,517,669,The social dynamics of religion in the public domain
20,1,2018,1,156,
20,2,2018,159,353,
20,3,2018,357,548,Toward a European Social Topography
20,4,2018,549,698,
20,5,2018,699,834,Family Understandings in Contemporary Europe
21,1,2019,1,180,
21,2,2019,181,325,European Citizens in Times of Crisis
21,3,2019,327,443,
21,4,2019,445,626,The Far Right as Social Movement
21,5,2019,629,801,Crises and Solidarities in Europe
22,1,2020,1,156,
22,2,2020,157,289,
22,3,2020,291,410,
22,4,2020,411,527,
22,5,2020,529,681,
23,1,2021,1,191,
23,S1,2021,S1,S956,European Societies in the Time of the Coronavirus Crisis
23,2,2021,193,310,
